PSO, iterations:, 300:, Average distance in clusters:, 0.477119, Average distance between clusters:, 0.145495, Davies-Bouldin index:, 6.558555, 
PSO, iterations:, 300:, Average distance in clusters:, 1.201791, Average distance between clusters:, 0.932929, Davies-Bouldin index:, 2.576383, 
PSO, iterations:, 300:, Average distance in clusters:, 0.771113, Average distance between clusters:, 0.592504, Davies-Bouldin index:, 2.602898, 
PSO, iterations:, 300:, Average distance in clusters:, 1.002056, Average distance between clusters:, 0.982726, Davies-Bouldin index:, 2.039339, 
PSO, iterations:, 300:, Average distance in clusters:, 1.170341, Average distance between clusters:, 0.977830, Davies-Bouldin index:, 2.393751, 
PSO, iterations:, 300:, Average distance in clusters:, 1.715731, Average distance between clusters:, 1.878439, Davies-Bouldin index:, 1.826762, 
PSO, iterations:, 300:, Average distance in clusters:, 0.883317, Average distance between clusters:, 0.615754, Davies-Bouldin index:, 2.869060, 
PSO, iterations:, 300:, Average distance in clusters:, 1.062611, Average distance between clusters:, 0.732578, Davies-Bouldin index:, 2.901016, 
PSO, iterations:, 300:, Average distance in clusters:, 0.501876, Average distance between clusters:, 0.112809, Davies-Bouldin index:, 8.897768, 
PSO, iterations:, 300:, Average distance in clusters:, 0.948882, Average distance between clusters:, 0.785003, Davies-Bouldin index:, 2.417524, 
PSO, iterations:, 300:, Average distance in clusters:, 1.049010, Average distance between clusters:, 0.613396, Davies-Bouldin index:, 3.420337, 
PSO, iterations:, 300:, Average distance in clusters:, 1.256785, Average distance between clusters:, 0.905287, Davies-Bouldin index:, 2.776545, 
PSO, iterations:, 300:, Average distance in clusters:, 1.164388, Average distance between clusters:, 0.929757, Davies-Bouldin index:, 2.504714, 
PSO, iterations:, 300:, Average distance in clusters:, 1.272444, Average distance between clusters:, 0.891658, Davies-Bouldin index:, 2.854106, 
PSO, iterations:, 300:, Average distance in clusters:, 1.004329, Average distance between clusters:, 0.586632, Davies-Bouldin index:, 3.424052, 
