PSO, iterations:, 300:, Average distance in clusters:, 1.022152, Average distance between clusters:, 0.666695, Davies-Bouldin index:, 3.066328, 
PSO, iterations:, 300:, Average distance in clusters:, 1.112489, Average distance between clusters:, 0.404989, Davies-Bouldin index:, 5.493918, 
PSO, iterations:, 300:, Average distance in clusters:, 0.994086, Average distance between clusters:, 0.694699, Davies-Bouldin index:, 2.861921, 
PSO, iterations:, 300:, Average distance in clusters:, 1.034426, Average distance between clusters:, 1.267973, Davies-Bouldin index:, 1.631621, 
PSO, iterations:, 300:, Average distance in clusters:, 1.072176, Average distance between clusters:, 0.980562, Davies-Bouldin index:, 2.186860, 
PSO, iterations:, 300:, Average distance in clusters:, 1.192127, Average distance between clusters:, 0.741145, Davies-Bouldin index:, 3.216986, 
PSO, iterations:, 300:, Average distance in clusters:, 1.147835, Average distance between clusters:, 1.011951, Davies-Bouldin index:, 2.268557, 
PSO, iterations:, 300:, Average distance in clusters:, 1.103096, Average distance between clusters:, 0.310341, Davies-Bouldin index:, 7.108929, 
PSO, iterations:, 300:, Average distance in clusters:, 0.992933, Average distance between clusters:, 0.331692, Davies-Bouldin index:, 5.987076, 
PSO, iterations:, 300:, Average distance in clusters:, 1.099294, Average distance between clusters:, 0.645161, Davies-Bouldin index:, 3.407812, 
PSO, iterations:, 300:, Average distance in clusters:, 1.088287, Average distance between clusters:, 0.626972, Davies-Bouldin index:, 3.471566, 
PSO, iterations:, 300:, Average distance in clusters:, 1.051731, Average distance between clusters:, 0.400496, Davies-Bouldin index:, 5.252149, 
PSO, iterations:, 300:, Average distance in clusters:, 1.040262, Average distance between clusters:, 1.134098, Davies-Bouldin index:, 1.834519, 
PSO, iterations:, 300:, Average distance in clusters:, 1.117036, Average distance between clusters:, 0.671765, Davies-Bouldin index:, 3.325674, 
PSO, iterations:, 300:, Average distance in clusters:, 1.170171, Average distance between clusters:, 0.850646, Davies-Bouldin index:, 2.751250, 
PSO, iterations:, 300:, Average distance in clusters:, 1.104038, Average distance between clusters:, 0.645596, Davies-Bouldin index:, 3.420215, 
PSO, iterations:, 300:, Average distance in clusters:, 1.013237, Average distance between clusters:, 0.520502, Davies-Bouldin index:, 3.893304, 
PSO, iterations:, 300:, Average distance in clusters:, 1.059030, Average distance between clusters:, 0.860315, Davies-Bouldin index:, 2.461959, 
PSO, iterations:, 300:, Average distance in clusters:, 1.064213, Average distance between clusters:, 0.733770, Davies-Bouldin index:, 2.900672, 
PSO, iterations:, 300:, Average distance in clusters:, 0.935754, Average distance between clusters:, 0.627114, Davies-Bouldin index:, 2.984319, 
PSO, iterations:, 300:, Average distance in clusters:, 1.240388, Average distance between clusters:, 0.888656, Davies-Bouldin index:, 2.791606, 
PSO, iterations:, 300:, Average distance in clusters:, 0.980770, Average distance between clusters:, 0.502463, Davies-Bouldin index:, 3.903850, 
PSO, iterations:, 300:, Average distance in clusters:, 1.105381, Average distance between clusters:, 0.421258, Davies-Bouldin index:, 5.247993, 
PSO, iterations:, 300:, Average distance in clusters:, 1.098892, Average distance between clusters:, 1.250341, Davies-Bouldin index:, 1.757747, 
PSO, iterations:, 300:, Average distance in clusters:, 1.184160, Average distance between clusters:, 0.934126, Davies-Bouldin index:, 2.535331, 
PSO, iterations:, 300:, Average distance in clusters:, 1.036842, Average distance between clusters:, 0.588522, Davies-Bouldin index:, 3.523548, 
PSO, iterations:, 300:, Average distance in clusters:, 1.093166, Average distance between clusters:, 0.398036, Davies-Bouldin index:, 5.492799, 
PSO, iterations:, 300:, Average distance in clusters:, 1.076097, Average distance between clusters:, 0.734735, Davies-Bouldin index:, 2.929211, 
PSO, iterations:, 300:, Average distance in clusters:, 1.103465, Average distance between clusters:, 1.142183, Davies-Bouldin index:, 1.932203, 
PSO, iterations:, 300:, Average distance in clusters:, 1.034783, Average distance between clusters:, 0.368266, Davies-Bouldin index:, 5.619765, 
PSO, iterations:, 300:, Average distance in clusters:, 1.032638, Average distance between clusters:, 0.668054, Davies-Bouldin index:, 3.091482, 
PSO, iterations:, 300:, Average distance in clusters:, 1.165972, Average distance between clusters:, 0.839226, Davies-Bouldin index:, 2.778685, 
PSO, iterations:, 300:, Average distance in clusters:, 0.981330, Average distance between clusters:, 1.125012, Davies-Bouldin index:, 1.744568, 
PSO, iterations:, 300:, Average distance in clusters:, 1.098849, Average distance between clusters:, 0.580743, Davies-Bouldin index:, 3.784286, 
PSO, iterations:, 300:, Average distance in clusters:, 1.213771, Average distance between clusters:, 1.459422, Davies-Bouldin index:, 1.663358, 
