PSO, iterations:, 300: Average distance in clusters: 0.770660, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.741327, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.828028, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.803611, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.731077, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.790911, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.901523, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.804899, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.859132, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.815216, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.795488, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
PSO, iterations:, 300: Average distance in clusters: 0.749600, Average distance between clusters: NaN, Davies-Bouldin index: 0.000000, 
