Competitive cluster ,0: Average distance in clusters:, 0.412629, Average distance between clusters:, 0.196897, Davies-Bouldin index:, 10.835245, 
Competitive cluster ,0: Average distance in clusters:, 0.402200, Average distance between clusters:, 0.226964, Davies-Bouldin index:, 8.348183, 
Competitive cluster ,0: Average distance in clusters:, 0.405600, Average distance between clusters:, 0.204614, Davies-Bouldin index:, 10.915302, 
Competitive cluster ,0: Average distance in clusters:, 0.410524, Average distance between clusters:, 0.209504, Davies-Bouldin index:, 8.997140, 
Competitive cluster ,0: Average distance in clusters:, 0.412145, Average distance between clusters:, 0.194924, Davies-Bouldin index:, 13.138949, 
Competitive cluster ,0: Average distance in clusters:, 0.402940, Average distance between clusters:, 0.228377, Davies-Bouldin index:, 9.540443, 
Competitive cluster ,0: Average distance in clusters:, 0.411923, Average distance between clusters:, 0.204828, Davies-Bouldin index:, 8.990509, 
Competitive cluster ,0: Average distance in clusters:, 0.406701, Average distance between clusters:, 0.224052, Davies-Bouldin index:, 10.442749, 
Competitive cluster ,0: Average distance in clusters:, 0.407394, Average distance between clusters:, 0.215532, Davies-Bouldin index:, 9.838298, 
Competitive cluster ,0: Average distance in clusters:, 0.413622, Average distance between clusters:, 0.194110, Davies-Bouldin index:, 12.714655, 
Competitive cluster ,0: Average distance in clusters:, 0.406268, Average distance between clusters:, 0.219911, Davies-Bouldin index:, 12.455691, 
Competitive cluster ,0: Average distance in clusters:, 0.395510, Average distance between clusters:, 0.243177, Davies-Bouldin index:, 8.555941, 
Competitive cluster ,0: Average distance in clusters:, 0.410098, Average distance between clusters:, 0.207171, Davies-Bouldin index:, 9.631109, 
Competitive cluster ,0: Average distance in clusters:, 0.397851, Average distance between clusters:, 0.242387, Davies-Bouldin index:, 11.302153, 
Competitive cluster ,0: Average distance in clusters:, 0.407321, Average distance between clusters:, 0.214706, Davies-Bouldin index:, 10.410822, 
Competitive cluster ,0: Average distance in clusters:, 0.400650, Average distance between clusters:, 0.236448, Davies-Bouldin index:, 9.868614, 
Competitive cluster ,0: Average distance in clusters:, 0.406766, Average distance between clusters:, 0.212018, Davies-Bouldin index:, 20.158913, 
Competitive cluster ,0: Average distance in clusters:, 0.413898, Average distance between clusters:, 0.199889, Davies-Bouldin index:, 8.722946, 
Competitive cluster ,0: Average distance in clusters:, 0.407623, Average distance between clusters:, 0.230035, Davies-Bouldin index:, 11.417633, 
Competitive cluster ,0: Average distance in clusters:, 0.403890, Average distance between clusters:, 0.230307, Davies-Bouldin index:, 8.751654, 
Competitive cluster ,0: Average distance in clusters:, 0.407647, Average distance between clusters:, 0.201201, Davies-Bouldin index:, 13.098532, 
Competitive cluster ,0: Average distance in clusters:, 0.412068, Average distance between clusters:, 0.201783, Davies-Bouldin index:, 15.226881, 
