Competitive cluster ,0: Average distance in clusters:, 0.378229, Average distance between clusters:, 0.313749, Davies-Bouldin index:, 7.645196, 
Competitive cluster ,0: Average distance in clusters:, 0.374852, Average distance between clusters:, 0.300658, Davies-Bouldin index:, 8.329389, 
Competitive cluster ,0: Average distance in clusters:, 0.377746, Average distance between clusters:, 0.316955, Davies-Bouldin index:, 6.784551, 
Competitive cluster ,0: Average distance in clusters:, 0.371672, Average distance between clusters:, 0.334022, Davies-Bouldin index:, 7.659593, 
Competitive cluster ,0: Average distance in clusters:, 0.367518, Average distance between clusters:, 0.338312, Davies-Bouldin index:, 6.604987, 
Competitive cluster ,0: Average distance in clusters:, 0.367037, Average distance between clusters:, 0.328317, Davies-Bouldin index:, 9.293169, 
Competitive cluster ,0: Average distance in clusters:, 0.365415, Average distance between clusters:, 0.353964, Davies-Bouldin index:, 6.820977, 
Competitive cluster ,0: Average distance in clusters:, 0.372077, Average distance between clusters:, 0.318402, Davies-Bouldin index:, 8.094836, 
Competitive cluster ,0: Average distance in clusters:, 0.386139, Average distance between clusters:, 0.295976, Davies-Bouldin index:, 7.215745, 
Competitive cluster ,0: Average distance in clusters:, 0.375161, Average distance between clusters:, 0.313420, Davies-Bouldin index:, 8.045882, 
Competitive cluster ,0: Average distance in clusters:, 0.372548, Average distance between clusters:, 0.347592, Davies-Bouldin index:, 6.657654, 
Competitive cluster ,0: Average distance in clusters:, 0.373369, Average distance between clusters:, 0.311578, Davies-Bouldin index:, 6.654960, 
Competitive cluster ,0: Average distance in clusters:, 0.378617, Average distance between clusters:, 0.308700, Davies-Bouldin index:, 8.141123, 
